#nproc real[sec]       user[sec]       sys[sec]
1      12.092          12.092          0.000
2      6.635           6.606           0.030
4      3.880           3.844           0.036
8      2.170           2.170           0.031
16     1.188           1.175           0.012
32     0.602           0.596           0.005
